Neighborhood Name,Children_under_18,Working_Age_Adults_18_64,Older_Adults_65_over,Aggregate Age Total,Aggregate Age Male,Aggregate Age Female,Median Age Total,Median Age Male,Median Age Female,Neighborhood Type (outside comp plan areas id)
Alki/Admiral,1789,7929,2368,541763.6,255666.9,288738,44.8,42.6,47.3,CRA
North Delridge,530,4689,584,225236.6,112036.2,111015.1,38.8,39.1,37.7,CRA
High Point,2366,6122,744,316446.6,154075.6,162133.9,34.2,34.4,34,CRA
Riverview,1074,3500,449,190119.7,101969,90069.6,37.8,37.9,38.5,CRA
Roxhill/Westwood,2362,10034,1588,535730.2,249357.1,284797.8,38.3,36.8,39.5,CRA
Highland Park,1490,5381,1281,310788.6,140588.3,177422.9,38.1,35.8,41.9,CRA
South Park,983,2734,343,134756,78494.6,62157.3,33.1,35.3,33.8,CRA
Georgetown,115,912,154,46654.4,28989,18264.9,39.5,42.3,36.7,CRA
Duwamish/SODO,244,2611,509,137220.6,83488.3,55075,40.7,41.5,40.6,CRA
South Beacon Hill/NewHolly,3094,9920,2596,600616.8,297637.6,307555.1,38.4,37.1,40.5,CRA
Beacon Hill,1787,5755,1790,377949,189367.7,190940.6,40.5,39.6,41.8,CRA
North Beacon Hill/Jefferson Park,1822,11030,2450,598827.6,301598.6,293384.5,39.1,37,40.9,CRA
Rainier Beach,3120,10440,2306,632575.4,312114.1,313363.4,39.8,41.8,37.2,CRA
Columbia City,3956,14799,2619,792555.4,382940.2,411518.5,37,35.4,38.9,CRA
Seward Park,2812,6515,1871,463718.8,230363.3,230513,41.4,39.1,43.3,CRA
Mt. Baker/North Rainier,1351,4635,1193,307193.2,158180.9,147569,42.7,39,47.1,CRA
Madrona/Leschi,2138,7807,1901,499815.1,243004.5,257140.6,42.1,41.1,43.2,CRA
Judkins Park,520,2921,815,156468.2,69900.8,86678,36.7,37.5,36.2,CRA
Central Area/Squire Park,2448,17089,2166,749796,378070.4,363948.1,34.5,34.1,34.2,CRA
First Hill,671,16400,2224,620746.9,354536.5,312052.1,32.1,32.5,37.1,CRA
Capitol Hill,579,24726,1423,851028.9,505584.5,343317.8,31.8,32.4,30.7,CRA
North Capitol Hill,371,3873,529,182465.9,95611.8,84078.9,38.2,36.8,38.6,CRA
Miller Park,1230,6007,1060,316063.6,164928.7,150514.4,38,40.5,35.5,CRA
Madison Park,1335,3351,1158,249253.3,108328.5,139959.8,42.6,37,47.8,CRA
Montlake/Portage Bay,1551,7502,1290,411256,207392.5,207392.4,39.7,39.4,40.7,CRA
University District,912,21708,628,537324.5,276428.4,268841.7,23.1,24.3,22.5,CRA
Ravenna/Bryant,4711,19976,3069,963919.7,482606.5,473478.8,34.7,34.8,34,CRA
Wedgwood/View Ridge,3711,11066,2702,721452.1,372376.5,347617.6,41.2,40,42.4,CRA
Laurelhurst/Sand Point,2859,6270,2131,471480.6,225665.3,239731.5,41.8,39.6,43,CRA
Northgate/Maple Leaf,2506,11687,3095,635743.5,305120.1,340428.6,36.7,37.3,37.3,CRA
Olympic Hills/Victory Heights,2846,11843,2402,680835.2,356446.2,318364.3,39.8,38.8,40.2,CRA
Cedar Park/Meadowbrook,2222,9608,2757,600447.4,312550,290145.2,41.1,41.4,41.1,CRA
Broadview/Bitter Lake,2910,9425,3616,720997.9,314514.6,414929.3,45.2,43.1,47.9,CRA
Licton Springs,907,7802,957,335986.4,165607.1,163810.8,34.7,34.1,33.9,CRA
Greenwood/Phinney Ridge,4303,19698,3272,1033290,514005.6,525473.6,37.8,37.3,38.8,CRA
Green Lake,2521,12564,2426,656520.4,317763.5,332506.1,37.4,37.8,36.4,CRA
Haller Lake,1987,7494,1398,403515.9,212777.2,188205.3,37,38.1,35.4,CRA
North Beach/Blue Ridge,2474,8252,1997,550594.4,278710.3,263701.7,43.2,42.7,42.4,CRA
Whittier Heights,2499,11081,1000,508922.9,255847.8,258050.2,34.9,35.2,35.2,CRA
Sunset Hill/Loyal Heights,3124,10352,2690,675322.8,330954.2,345359.8,41.7,40.1,43.5,CRA
Ballard,1088,9152,925,369056.7,173536,197761.1,33,32,34.3,CRA
Fremont,1700,15408,1511,622398.5,305926.4,316414.8,33.4,33.6,33.1,CRA
Wallingford,2287,14701,1446,597376.3,302010,293672.6,32.4,33.8,30.9,CRA
Cascade/Eastlake,597,25287,2470,909985.2,510235.7,426387.3,32,32.6,33.4,CRA
Magnolia,3385,7906,2481,610561.6,285302.8,325009.1,44.3,43.3,45.2,CRA
Interbay,1444,9504,1156,429284.1,227634.9,205046.3,35.4,35.5,35.9,CRA
Queen Anne,4314,36166,5025,1598747,782431.9,815743.8,35.1,34.1,36,CRA
Belltown,204,9998,1096,433538.6,218052.3,212804.3,38.3,36.4,40,CRA
Downtown Commercial Core,175,5109,1016,283457.3,153125.3,128373.3,44.9,44.7,44.6,CRA
Pioneer Square/International District,393,4598,1555,263965.5,156695.3,116484.7,40.3,39.1,45.7,CRA
Outside Villages,74900,272836,59750,16308396,8003630.9,8283081.6,40,39.2,40.6,UCUV-OUT
Aurora-Licton Springs,672,6782,627,272110.9,137054.5,129430.4,33.6,33.3,32.6,UCUV
